model_code|version_name|version_code|spec_category|spec_key|spec_value|spec_unit|source_url
VF 2|||powertrain|battery_kwh|18.3|kWh|https://vnexpress.net/oto-xe-may/v-car/dong-xe/vinfast-vf-2-336
VF 2|||powertrain|top_speed_kmh|80|km/h|https://vnexpress.net/oto-xe-may/v-car/dong-xe/vinfast-vf-2-336
VF 2|||powertrain|engine|01 Motor||https://vinfastauto.com/vn_vi/dat-coc-xe-vf2
VF 2|||powertrain|power_kw|30|kW|https://vinfastauto.com/vn_vi/dat-coc-xe-vf2
VF 2|||powertrain|torque_nm|65|Nm|https://vinfastauto.com/vn_vi/dat-coc-xe-vf2
VF 2|||powertrain|range_km|210|km|https://vinfastauto.com/vn_vi/dat-coc-xe-vf2
VF 2|||powertrain|fast_charge_min|34|phút|https://vinfastauto.com/vn_vi/dat-coc-xe-vf2
VF 2|||powertrain|drivetrain|RWD/Cầu sau||https://vinfastauto.com/vn_vi/dat-coc-xe-vf2
VF 6|||powertrain|battery_type|LFP||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||powertrain|battery_kwh|59.6|kWh|https://vinfastlongan.vn/san-pham/vinfast-vf6/
VF 6|||dimension|length_mm|4238|mm|https://vinfast-vn.vn/san-pham/vinfast-vf6/
VF 6|||dimension|width_mm|1820|mm|https://vinfast-vn.vn/san-pham/vinfast-vf6/
VF 6|||dimension|height_mm|1594|mm|https://vinfast-vn.vn/san-pham/vinfast-vf6/
VF 6|||dimension|wheelbase_mm|2730|mm|https://vinfast-vn.vn/san-pham/vinfast-vf6/
VF 6|Eco||powertrain|range_km|399|km|https://vinfast-vn.vn/san-pham/vinfast-vf6/
VF 6|Plus||powertrain|range_km|381|km|https://vinfast-vn.vn/san-pham/vinfast-vf6/
VF 6|Eco||powertrain|power_kw|100|kW|https://vinfast-vn.vn/san-pham/vinfast-vf6/
VF 6|Plus||powertrain|power_kw|150|kW|https://vinfast-vn.vn/san-pham/vinfast-vf6/
VF 6|Eco||powertrain|torque_nm|135|Nm|https://vinfast-vn.vn/san-pham/vinfast-vf6/
VF 6|Plus||powertrain|torque_nm|310|Nm|https://vinfast-vn.vn/san-pham/vinfast-vf6/
VF 6|Eco||exterior|wheel_size_inch|17|inch|https://vinfast-vn.vn/san-pham/vinfast-vf6/
VF 6|Plus||exterior|wheel_size_inch|19|inch|https://vinfast-vn.vn/san-pham/vinfast-vf6/
VF 6|||powertrain|engine|Motor||https://vinfastlongan.vn/san-pham/vinfast-vf6/
VF 6|Eco||powertrain|top_speed_kmh|150|km/h|https://vinfastlongan.vn/san-pham/vinfast-vf6/
VF 6|Plus||powertrain|top_speed_kmh|175|km/h|https://vinfastlongan.vn/san-pham/vinfast-vf6/
VF 6|||powertrain|drivetrain|Cầu Trước||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||safety|suspension|Mac Pherson||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|Plus||exterior|headlights|Tự đông||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|Eco||exterior|headlights|Không||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||exterior|mirrors|Có||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|Plus||interior|driver_seat|Chỉnh điện 8 hướng||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|Eco||interior|driver_seat|Chỉnh cơ 6 hướng||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|Plus||interior|passenger_seat|Có||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|Eco||interior|passenger_seat|Không||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|Plus||interior|ac|Tự động, 2 vùng||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|Eco||interior|ac|Tự động, 1 vùng||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|Plus||interior|speakers|8||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|Eco||interior|speakers|6||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||safety|airbags|2||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||dimension|ground_clearance_mm|170|mm|https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||powertrain|acceleration_0_100_s|8|s|https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||powertrain|ac_charge_kw|7.2|kW|https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||powertrain|drive_modes|Eco/Normal/Sport||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||safety|brakes|Đĩa||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||exterior|tire_type|Lốp mùa hè||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||exterior|spare_tire|Aftersales||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||exterior|drl|LED||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||exterior|tailgate|Chỉnh cơ||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||interior|seats|5||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||interior|seat_material|Giả da||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||interior|second_row|60:40||https://www.vinfastmiennam.vn/so-sanh-vinfast-vf6-base-va-vf6-plus-p49
VF 6|||interior|display_inch|12.9|inch|https://vinfast-chinhhang.com/vinfast-vf6-s-2024-1447625.html
VF 7|||powertrain|battery_type|Lithium-ion||https://vnexpress.net/oto-xe-may/v-car/dong-xe/vinfast-vf-7-253
VF 7|||powertrain|battery_kwh|75.3|kWh|https://vinfastyenbai.com.vn/vinfast-vf7/
VF 7|Eco||powertrain|engine|1 Motor điện||https://vinfastyenbai.com.vn/vinfast-vf7/
VF 7|Plus||powertrain|engine|2 Motor điện||https://vinfastyenbai.com.vn/vinfast-vf7/
VF 7|||powertrain|drivetrain|FWD – Dẫn động cầu trước||https://vinfastyenbai.com.vn/vinfast-vf7/
VF 7|||dimension|wheelbase_mm|2840|mm|https://vinfastyenbai.com.vn/vinfast-vf7/
VF 7|Eco||powertrain|range_km|450|km|https://vinfastyenbai.com.vn/vinfast-vf7/
VF 7|Plus||powertrain|range_km|431|km|https://vinfastyenbai.com.vn/vinfast-vf7/
VF 7|Eco||powertrain|power_kw|201|kW|https://vinfastyenbai.com.vn/vinfast-vf7/
VF 7|Plus||powertrain|power_kw|349|kW|https://vinfastyenbai.com.vn/vinfast-vf7/
VF 7|Eco||powertrain|torque_nm|310|Nm|https://vinfastyenbai.com.vn/vinfast-vf7/
