model_id|edition_id|price_list_vnd|price_promo_vnd|promo_label|vat_included|battery_included|valid_from|valid_to|updated_at|source_url
VF3|Eco|285000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF3|Plus|296000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF5|Plus|496000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF6|Eco|646000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF6|Plus|699000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF7|Eco|740000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF7|Plus|830000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF7|PlusCaptain|850000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VFMPV7|Eco|750000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF2|TieuChuan|188000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF8|Eco|898000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF8|Plus|1079000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF9|Eco|1348000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF9|Plus|1529000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
VF8NEW|The All New|899000000|||t|t|2026-07-01||2026-08-13T08:00:51.306622Z|model_data/variants/vinfast_models.csv
